"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate"
"Berhampur","BP-BAM-2022-04-15-002541","BPA1","2022-04-15","2022-04-15","APPROVED","BP/BAM/000204","2022-05-30"
"Sambalpur","BP-SMB-2022-06-11-004590","BPA1","2022-06-11","2022-06-29","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-04-003174","BPA1","2022-05-04","2022-05-04","APPROVED","BP/BAM/000208","2022-06-01"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-24-002819","BPA1","2022-04-24","2022-04-24","APPROVED","BP/BDA/000232","2022-06-10"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-25-001950","BPA2","2022-03-25","2022-03-25","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Sambalpur","BP-SMB-2022-05-18-003700","BPA1","2022-05-18","2022-05-18","APPROVED","BP/SMB/000461","2022-07-27"
"Bhubaneswar","BP-BMC-2022-07-02-005671","BPA1","2022-07-02","2022-07-08","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-06-02-004028","BPA2","2022-06-02","2022-07-14","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-24-002816","BPA1","2022-04-24","2022-04-24","APPROVED","BP/BDA/000233","2022-06-10"
"Bhubaneswar","BP-BMC-2022-02-12-000831","BPA1","2022-02-12","2022-02-12","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-14-001691","BPA2","2022-03-14","2022-03-21","CITIZEN_ACTION_PENDING_AT_APP_L1_VERIF",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-06-28-005485","BPA1","2022-06-28","2022-06-29","APPROVAL_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-05-11-003467","BPA2","2022-05-11",NULL,"PENDING_APPL_FEE",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-04-30-003078","BPA1","2022-04-30","2022-04-30","APPROVED","BP/BED/000202","2022-05-20"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-12-003534","BPA1","2022-05-12",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-11-004582","BPA1","2022-06-11",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-12-003531","BPA3","2022-05-12","2022-05-18","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-06-11-004583","BPA1","2022-06-11",NULL,"INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-03-22-001874","BPA2","2022-03-22","2022-03-25","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-28-002988","BPA1","2022-04-28","2022-04-28","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Berhampur","BP-BAM-2022-05-17-003649","BPA1","2022-05-17","2022-06-10","REJECTED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-22-001889","BPA1","2022-03-22","2022-03-31","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Cuttack","BP-CTC-2022-06-18-004850","BPA1","2022-06-18","2022-06-18","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-07-24-006495","BPA2","2022-07-24","2022-07-27","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Khordha","BP-KHU-2022-07-04-005751","BPA1","2022-07-04","2022-07-06","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-06-16-004751","BPA2","2022-06-16","2022-06-29","APPROVAL_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-06-22-004983","BPA1","2022-06-22","2022-07-20","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-24-002820","BPA1","2022-04-24","2022-04-24","APPROVED","BP/BDA/000242","2022-06-11"
"Bhubaneswar","BP-BMC-2022-05-30-003880","BPA1","2022-05-30","2022-05-30","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-06-11-004585","BPA2","2022-06-11","2022-06-13","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-31-002074","BPA1","2022-03-31","2022-03-31","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-04-18-002607","BPA1","2022-04-18","2022-04-24","APPROVED","BP/BAM/000196","2022-05-19"
"Berhampur","BP-BAM-2022-06-11-004623","BPA1","2022-06-11","2022-06-11","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-26-001207","BPA3","2022-02-26","2022-03-02","CITIZEN_ACTION_PENDING_AT_APP_L1_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-07-11-005981","BPA2","2022-07-11","2022-07-11","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-06-10-004520","BPA1","2022-06-10","2022-06-12","APPROVED","BP/BAM/000278","2022-06-24"
"Bhubaneswar","BP-BMC-2022-05-16-003633","BPA2","2022-05-16",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-24-001147","BPA1","2022-02-24","2022-03-04","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Cuttack","BP-CTC-2022-05-12-003540","BPA2","2022-05-12",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-07-04-005703","BPA1","2022-07-04",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Cuttack","BP-CTC-2022-07-04-005754","BPA1","2022-07-04","2022-07-04","APPROVED","BP/CTC/000397","2022-07-19"
"Bhubaneswar","BP-BMC-2022-07-27-006598","BPA1","2022-07-27","2022-07-28","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-06-14-004696","BPA1","2022-06-14",NULL,"PENDING_APPL_FEE",NULL,NULL
"Berhampur","BP-BAM-2022-06-14-004716","BPA1","2022-06-14","2022-06-14","APPROVED","BP/BAM/000350","2022-07-13"
"Bhubaneswar","BP-BMC-2022-07-07-005889","BPA1","2022-07-07","2022-07-23","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-07-03-005676","BPA2","2022-07-03","2022-07-09","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-07-000717","BPA1","2022-02-07","2022-02-08","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Sambalpur","BP-SMB-2022-06-19-004879","BPA1","2022-06-19","2022-06-27","APPROVED","BP/SMB/000456","2022-07-27"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-06-20-004919","BPA1","2022-06-20","2022-06-21","APPROVED","BP/BDA/000317","2022-07-07"
"Berhampur","BP-BAM-2022-06-01-003982","BPA1","2022-06-01","2022-06-01","APPROVED","BP/BAM/000237","2022-06-10"
"Cuttack","BP-CTC-2022-06-10-004531","BPA1","2022-06-10",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-05-001400","BPA1","2022-03-05","2022-03-16","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-16-003635","BPA2","2022-05-16","2022-05-20","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-30-003080","BPA1","2022-04-30","2022-05-13","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Berhampur","BP-BAM-2022-07-04-005750","BPA1","2022-07-04",NULL,"PENDING_APPL_FEE",NULL,NULL
"Sundargarh","BP-SNG-2022-07-27-006639","BPA1","2022-07-27",NULL,"INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-06-21-004945","BPA2","2022-06-21","2022-06-21","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-09-001546","BPA1","2022-03-09","2022-03-09","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-09-001551","BPA1","2022-03-09","2022-03-10","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-11-001599","BPA1","2022-03-11","2022-03-14","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-06-01-003959","BPA1","2022-06-01","2022-06-01","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-16-003636","BPA1","2022-05-16",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-06-01-003984","BPA1","2022-06-01","2022-06-02","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Cuttack","BP-CTC-2022-04-22-002765","BPA2","2022-04-22","2022-05-17","APPROVED","BP/CTC/000215","2022-06-02"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-11-002407","BPA1","2022-04-11","2022-04-11","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Sambalpur","BP-SMB-2022-06-03-004173","BPA1","2022-06-03","2022-06-03","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Khordha","BP-KHU-2022-06-20-004922","BPA4","2022-06-20","2022-06-21","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-02-004043","BPA1","2022-06-02","2022-06-02","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-02-22-001055","BPA2","2022-02-22","2022-05-14","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-07-04-005708","BPA1","2022-07-04","2022-07-07","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-04-06-002272","BPA1","2022-04-06","2022-04-07","APPROVED","BP/RRK/000307",NULL
"Bhubaneswar","BP-BMC-2022-06-20-004930","BPA1","2022-06-20","2022-07-05","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-07-21-006397","BPA2","2022-07-21",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-03-003142","BPA1","2022-05-03","2022-05-05","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Rourkela","BP-RRK-2022-05-05-003240","BPA1","2022-05-05","2022-06-02","APPROVED","BP/RRK/000252","2022-06-17"
"Berhampur","BP-BAM-2021-12-28-000221","BPA2","2021-12-28",NULL,"INITIATED",NULL,NULL
"Cuttack","BP-CTC-2022-05-15-003615","BPA1","2022-05-15","2022-05-18","APPROVED","BP/CTC/000195","2022-05-18"
"Berhampur","BP-BAM-2022-06-10-004570","BPA1","2022-06-10",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Berhampur","BP-BAM-2022-07-21-006412","BPA1","2022-07-21",NULL,"INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-02-004046","BPA1","2022-06-02","2022-06-02","APPROVAL_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-07-24-006497","BPA1","2022-07-24","2022-07-25","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-06-10-004574","BPA1","2022-06-10",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Berhampur","BP-BAM-2022-07-18-006252","BPA1","2022-07-18","2022-07-18","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-04-003168","BPA1","2022-05-04","2022-05-04","APPROVED","BP/BAM/000269","2022-06-22"
"Khordha","BP-KHU-2022-06-20-004931","BPA2","2022-06-20",NULL,"DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-07-19-006323","BPA1","2022-07-19","2022-07-21","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-13-004670","BPA1","2022-06-13","2022-06-21","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-07-25-006498","BPA1","2022-07-25",NULL,"PENDING_APPL_FEE",NULL,NULL
"Cuttack","BP-CTC-2022-04-04-002188","BPA2","2022-04-04","2022-04-08","APPROVED","BP/CTC/000226",NULL
"Bhubaneswar","BP-BMC-2022-07-06-005814","BPA1","2022-07-06","2022-07-07","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-07-27-006641","BPA2","2022-07-27",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-17-004789","BPA1","2022-06-17","2022-06-26","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-07-07-005853","BPA1","2022-07-07","2022-07-07","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-07-26-006597","BPA2","2022-07-26","2022-07-28","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-23-005053","BPA1","2022-06-23","2022-06-23","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-11-004608","BPA1","2022-06-11",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Sambalpur","BP-SMB-2022-07-25-006499","BPA1","2022-07-25",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-07-02-005655","BPA1","2022-07-02",NULL,"PENDING_APPL_FEE",NULL,NULL
"Berhampur","BP-BAM-2022-04-12-002478","BPA1","2022-04-12","2022-04-12","APPROVED","BP/BAM/000197","2022-05-19"
"Berhampur","BP-BAM-2022-05-07-003309","BPA1","2022-05-07","2022-05-07","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-29-000591","BPA2","2022-01-29","2022-02-14","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-12-002481","BPA1","2022-04-12","2022-04-12","APPROVED","BP/BMC/000324","2022-07-08"
"Sambalpur","BP-SMB-2022-07-25-006500","BPA1","2022-07-25",NULL,"INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-07-02-005650","BPA1","2022-07-02","2022-07-25","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-21-004942","BPA1","2022-06-21","2022-06-21","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-06-30-005611","BPA1","2022-06-30","2022-07-11","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-23-005061","BPA2","2022-06-23","2022-06-23","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-11-004605","BPA1","2022-06-11","2022-06-11","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-21-001865","BPA1","2022-03-21","2022-06-05","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Cuttack","BP-CTC-2022-07-05-005762","BPA2","2022-07-05","2022-07-05","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-23-002791","BPA1","2022-04-23","2022-05-04","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-06-001436","BPA1","2022-03-06","2022-03-16","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-23-005065","BPA1","2022-06-23","2022-06-23","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-06-02-004051","BPA1","2022-06-02",NULL,"INITIATED",NULL,NULL
"Cuttack","BP-CTC-2022-06-10-004541","BPA1","2022-06-10",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-07-07-005892","BPA1","2022-07-07","2022-07-08","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-08-003354","BPA1","2022-05-08","2022-05-09","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-07-05-005759","BPA1","2022-07-05","2022-07-05","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-14-004706","BPA4","2022-06-14",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-07-20-006336","BPA1","2022-07-20",NULL,"PENDING_APPL_FEE",NULL,NULL
"Berhampur","BP-BAM-2022-06-10-004538","BPA1","2022-06-10",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Sambalpur","BP-SMB-2022-07-25-006501","BPA1","2022-07-25","2022-07-25","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-11-004593","BPA1","2022-06-11",NULL,"INITIATED",NULL,NULL
"Cuttack","BP-CTC-2022-06-11-004607","BPA1","2022-06-11","2022-06-11","APPROVED","BP/CTC/000274","2022-06-23"
"Berhampur","BP-BAM-2022-05-12-003552","BPA1","2022-05-12","2022-05-12","APPROVED","BP/BAM/000244","2022-06-12"
"Bhubaneswar","BP-BMC-2022-07-28-006646","BPA2","2022-07-28","2022-07-28","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-07-07-005897","BPA1","2022-07-07",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-16-001750","BPA2","2022-03-16","2022-03-16","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Sambalpur","BP-SMB-2022-04-07-002340","BPA1","2022-04-07",NULL,"APPROVED","BP/SMB/000228","2022-06-08"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-24-001930","BPA2","2022-03-24","2022-03-24","CITIZEN_ACTION_PENDING_AT_APP_L1_VERIF",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-06-28-005520","BPA1","2022-06-28",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Berhampur","BP-BAM-2022-07-06-005838","BPA1","2022-07-06","2022-07-16","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-17-004791","BPA1","2022-06-17","2022-06-17","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-07-16-006201","BPA1","2022-07-16","2022-07-16","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-07-20-006337","BPA1","2022-07-20","2022-07-27","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-07-28-006647","BPA1","2022-07-28",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-06-21-004933","BPA1","2022-06-21",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-28-005525","BPA2","2022-06-28",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-04-003169","BPA1","2022-05-04","2022-05-04","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-07-28-006649","BPA1","2022-07-28",NULL,"INITIATED",NULL,NULL
"Testing","BP-TST-2022-05-29-003838","BPA1","2022-05-29",NULL,"PENDING_APPL_FEE",NULL,NULL
"Berhampur","BP-BAM-2022-06-20-004911","BPA1","2022-06-20","2022-06-24","APPROVED","BP/BAM/000336","2022-07-10"
"Bhubaneswar","BP-BMC-2022-07-02-005658","BPA1","2022-07-02","2022-07-08","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-14-004710","BPA4","2022-06-14",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-06-18-004816","BPA1","2022-06-18","2022-06-18","APPROVED","BP/RRK/000309","2022-07-05"
"Cuttack","BP-CTC-2022-07-05-005807","BPA1","2022-07-05","2022-07-06","APPROVED","BP/CTC/000376","2022-07-16"
"Cuttack","BP-CTC-2022-05-17-003643","BPA1","2022-05-17","2022-05-18","APPROVED","BP/CTC/000203","2022-05-29"
"Bhubaneswar","BP-BMC-2022-07-02-005659","BPA1","2022-07-02",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-18-003692","BPA1","2022-05-18","2022-05-30","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-30-003855","BPA1","2022-05-30","2022-05-30","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-07-25-006502","BPA1","2022-07-25",NULL,"INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-19-003737","BPA2","2022-05-19",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-05-20-003804","BPA1","2022-05-20",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-06-18-004817","BPA1","2022-06-18",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Sambalpur","BP-SMB-2022-06-28-005528","BPA1","2022-06-28","2022-06-29","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-05-001413","BPA1","2022-03-05","2022-04-05","APPROVED","BP/BMC/000466","2022-07-28"
"Kalinganagardevelopmentauthority","BP-KDA-2022-06-10-004543","BPA2","2022-06-10","2022-06-10","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-05-30-003864","BPA1","2022-05-30",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-30-003865","BPA1","2022-05-30","2022-05-30","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-30-003881","BPA1","2022-05-30","2022-05-31","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-21-002721","BPA1","2022-04-21","2022-05-30","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-05-002248","BPA1","2022-04-05","2022-06-01","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-02-001270","BPA1","2022-03-02","2022-03-23","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-16-003640","BPA1","2022-05-16","2022-05-17","APPROVED","BP/BAM/000287","2022-06-28"
"Berhampur","BP-BAM-2022-07-02-005660","BPA2","2022-07-02","2022-07-07","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-28-005527","BPA2","2022-06-28",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-21-002704","BPA1","2022-04-21","2022-04-21","APPROVED","BP/BMC/000219","2022-06-03"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-23-002798","BPA1","2022-04-23","2022-05-30","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Berhampur","BP-BAM-2022-05-12-003537","BPA1","2022-05-12","2022-05-13","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-07-001453","BPA1","2022-03-07","2022-03-10","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-05-31-003901","BPA1","2022-05-31",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-14-002535","BPA2","2022-04-14",NULL,"APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-06-18-004818","BPA1","2022-06-18",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-12-001625","BPA1","2022-03-12","2022-03-12","APPROVAL_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-06-27-005472","BPA1","2022-06-27",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-09-003404","BPA1","2022-05-09","2022-05-19","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-07-003333","BPA1","2022-05-07","2022-05-11","APPROVED","BP/BAM/000206","2022-05-31"
"Cuttack","BP-CTC-2022-05-31-003900","BPA1","2022-05-31",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-06-23-005028","BPA1","2022-06-23",NULL,"APPROVAL_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-04-11-002428","BPA2","2022-04-11","2022-06-21","APPROVED","BP/CTC/000331","2022-07-09"
"Bhubaneswar","BP-BMC-2022-02-04-000688","BPA1","2022-02-04","2022-02-08","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-14-004712","BPA1","2022-06-14",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-06-11-004587","BPA2","2022-06-11","2022-06-11","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-06-21-004940","BPA1","2022-06-21",NULL,"INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-21-004935","BPA1","2022-06-21","2022-06-21","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-06-14-004714","BPA1","2022-06-14",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-11-000811","BPA1","2022-02-11","2022-03-17","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-02-004006","BPA1","2022-06-02","2022-06-02","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-21-001854","BPA1","2022-03-21","2022-03-25","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Rourkela","BP-RRK-2022-07-08-005931","BPA2","2022-07-08","2022-07-09","APPROVAL_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-05-13-003560","BPA1","2022-05-13","2022-05-13","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-04-001362","BPA1","2022-03-04","2022-03-11","APPROVED","BP/BMC/000205","2022-05-31"
"Cuttack","BP-CTC-2022-07-06-005827","BPA1","2022-07-06","2022-07-07","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-31-003915","BPA1","2022-05-31",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-04-001343","BPA1","2022-03-04","2022-03-12","PENDING_SANC_FEE_PAYMENT",NULL,NULL
